,INQ_YMD,YEAR,MONTH,DAY,PDLT_NM,NMYR_RATE,WHSL_DAIL_PRCE,WHSL_BFRT_PRCE,RTSL_BFRT_PRCE,RTSL_DAIL_PRCE
52000,20161031,2016,10,31,¸¶´Ã,26.263,7000.0,7000.0,10443.0,10458.0
52007,20161101,2016,11,1,¸¶´Ã,28.391,7100.0,7000.0,10458.0,10448.0
52014,20161102,2016,11,2,¸¶´Ã,28.391,7100.0,7100.0,10448.0,10484.0
52021,20161103,2016,11,3,¸¶´Ã,28.391,7100.0,7100.0,10484.0,10396.0
52030,20170101,2017,1,1,¸¶´Ã,33.759,7330.0,7330.0,10514.0,10514.0
52037,20170102,2017,1,2,¸¶´Ã,33.759,7330.0,7330.0,10514.0,10514.0
52044,20170103,2017,1,3,¸¶´Ã,33.759,7330.0,7330.0,10514.0,10447.0
52051,20170104,2017,1,4,¸¶´Ã,33.759,7330.0,7330.0,10447.0,10447.0
52053,20170227,2017,2,27,¸¶´Ã,31.016,7350.0,7350.0,10341.0,10271.0
52060,20170228,2017,2,28,¸¶´Ã,31.016,7350.0,7350.0,10271.0,10351.0
52067,20170301,2017,3,1,¸¶´Ã,26.593,7250.0,7350.0,10351.0,10332.0
52074,20170302,2017,3,2,¸¶´Ã,26.593,7250.0,7350.0,10351.0,10332.0
52084,20160904,2016,9,4,¸¶´Ã,25.401,6650.0,6650.0,10216.0,10194.0
52091,20160905,2016,9,5,¸¶´Ã,25.401,6650.0,6650.0,10216.0,10194.0
52098,20160906,2016,9,6,¸¶´Ã,25.401,6650.0,6650.0,10194.0,10133.0
52107,20161104,2016,11,4,¸¶´Ã,28.391,7100.0,7100.0,10396.0,10351.0
52114,20161105,2016,11,5,¸¶´Ã,28.391,7100.0,7100.0,10351.0,10328.0
52121,20161106,2016,11,6,¸¶´Ã,28.391,7100.0,7100.0,10351.0,10328.0
52128,20161107,2016,11,7,¸¶´Ã,28.391,7100.0,7100.0,10351.0,10328.0
52137,20170105,2017,1,5,¸¶´Ã,33.759,7330.0,7330.0,10447.0,10405.0
